ID,CONTEXT,LABEL
1,"慕炫兰抹净眼眶里会烫热她的心的泪水，把细软收拾好后，将包袱	挂在手臂上，转身面对那个恨鸟入骨的朝歌。",1
2,"忽然想到一事，说：“险些忘了，你们姐妹俩明儿个就要上沧山，包袱	收拾好了没？”",1
3,"小柿子刚推开门，见小虎在屋中拿着包着金乌的包袱	，似乎正要打开，听见有动静，一回头，看见小柿子…",1
4,"...我看那老头身后背着的八成就是。”方枕寒暗想，那老者身上背的包袱	里十有八九是某种兵器，难道这么多人如此兴师动众…",1
5,区华拿了一块钱茶钱把他打发走了，就叫周炳收拾包袱回家。,1
6,"“谢谢！请问尊姓大名？”青衫青年拍开夏次健的穴道，一放下小包袱	，立即掠向林中。",1
7,刚说完这句话没多久，已有个戴着红樱帽的官差．手里提着个黄布包袱，大摇大摆的从土坡下走了上来，四下张望了几眼。,1
8,行者低头打开包袱，就地挝把尘土，往上一洒，念个咒语，乃是个定身咒。,1
9,"...塑料座椅一字排开，屋顶上悬挂了两部崭新的电视，上百名带着大小	包袱	的缅甸人正在候车，在几部巨大风扇的轰鸣声中，车站广播员不时播报…",1
10,"行者低头打开包袱	，就地挝把尘土，往上一洒，念个咒语，乃是个定身咒。",1
11,解英冈拔出包袱中一刀、一剑，大声道：“要死，死在一块。”,1
12,"紫薇看着包袱	画过空中，不禁狂奔过去接包袱。",1
13,这两人没带什么行装，通共只有一个小包袱，由那小童背着。包袱里又露出一把剑的剑柄，令人容易猜到他们是武林人士,1
14,...瞅它，扔了一节过去。跑反两天。带出来的干粮也吃得差不多了，包袱里只剩下两块山芋和棒面贴饼。省着吃还能将就天把...,1
15,...泰突道：“你与他们无冤无仇，到时说明可保无恙。”解英冈拔出包袱中一刀、一剑，大声道：“要死，死在一块。”凝蓝...,1
16,...纫工和补鞋匠再也不用来五班和七班了。潘珍奇当兵一年多，现在包袱里还有崭新的解放鞋三双，布鞋一双，衣服四套，裤...,1
17,...没戏可唱了，大吼一声，抛出手中包袱，乘机飞逃而去。紫薇看着包袱画过空中，不禁狂奔过去接包袱。紫薇尚未接到包袱...,1
18,...？快点把它埋了吧。要不然，死去的人也升不了天。”房子慌忙用包袱皮盖住白布裹着的骨灰盒。房子记得自己曾经和母亲...,1
19,...他有什么事，不敢拦阻，只请他将亭中角落摆着的包袱拿来。一则包袱里面有些银子，二则这身衣撕破了，而且渍染不少污...,1
20,...子，这两人没带什么行装，通共只有一个小包袱，由那小童背着。包袱里又露出一把剑的剑柄，令人容易猜到他们是武林人...,1
21,...眼，随即跑开了。她待在那里，十分惊讶。过了一会，他带着一个包袱回来，扔到她的脚下。这是一些好心的妇女放在教堂...,1
22,...儿还有一些东西，你们先拿去填肚子。”田蜜从诸葛擎的身上取过包袱，拿出剩余的一些干粮放在他们面前。只见有几位年...,1
23,...厚道人！阿庆嫂（向少女）回去吧。少女他还抢我包袱哪！阿庆嫂包袱？他哪能要你的包袱啊！（向刁小三）跟她闹着玩哪...,1
24,...不到粮米，几十万逃难的流民把路上的树皮都给啃光了。牧云笙的包袱中，那仅剩的几张饼成了稀世之宝，只有在深夜或人...,1
25,...屏回襄阳，给了她足够的盘缠钱，要开船了，翠屏却拎着自己的小包袱，跳上码头，直奔梁富堂的小屋。二梁家办丝绸庄，...,1
26,...，肚破肠流惨状，他简直抓狂。怒喝一声：“大胆凶僧纳命来！”包袱丢挂于背上书箱，右手提出剑指，再喝一声烈阳真火...,1
27,...…”他反而疏忽了这问题。他记得带她走时，她仅背着一个小小的包袱，看来里面也不可能有什么东西——包括衣物。小二...,1
28,...座位上，淡绿色的毛线围巾仍旧裹着她那满是皲裂的双颊，捧着大包袱的手里紧紧攥着那张三等车票。直到这时我才聊以忘...,1
29,...痹的双腿缓慢地走至她的跟前，看她不发一言地自总管的手上拿来包袱，转将它交至自己的手上。“二娘，这是……”捧着...,1
30,...年没见阳光，新厂成了当地的包袱。江阴市第三针织厂相中了这个包袱，今年４月终于与对方达成协议，先买下了该厂的产...,1
31,...天泪眼汪汪的哭诉黎若星抢了他老婆。凯罗更好玩，她老是背着小包袱四处流浪。每次回来，家可以不回，却不可以不来看...,1
32,...他提出第二个请求之前杀了他。“好吧。”贺小舟说，“拿起你的包袱。”他的声音仍是冷冰冰的。偷渡客慢慢弯下腰拾起...,1
33,...。是了，八成是他。冷傲霜皱起细眉，冷哼一声，带了一个简单的包袱和一个小陶瓮，头也不回地离开了这居住十余年的地...,1
34,...时伤病员们已经要分散到各个村子里去，他们打起兵上的寒他的小包袱，带着凄凉的微笑眼大家一一握手告别。护士检查了...,1
35,...，直问：“我们姑奶奶呢？”这时周成才说，头天下晚看她夹着纸包袱出城还愿去了。参领说：“阿弥陀佛，脱过这场灾就...,1
36,...，有d饱添。吃饱就想睡，我猪啊。回到省公司立马打的回家扔下包袱再会合姐妹们等我啊。我地究竟去边度好啊。第一次...,1
37,...动一下。“发烧？不知道有没有退烧药？”佑诗嘀咕着，将怀中的包袱放在地上摊开，在一堆药瓶中翻找她需要的药。“找...,1
38,...好干惠阳！。齐金蝉自知它苦役工作，必定不知外用算便道：“托包袱里头有主，不能离身，你到里头拿来腊肉历味，我的...,1
39,...然陌生的村落，第一次走进了方家的大门。她还记得自己拎着个小包袱，瑟缩而颤栗的站在方家的大厅内，像个小小的待决...,1
40,...走吧，别啰嗦了。焦柳这么说着，自己空着手在前面走，小姨拎着包袱，领着焦建国和我在后面跟着。出了门，走到村前大...,1
41,...“陈静静：“嗯。”陆小凤：“找我干什么？”陈静静指着桌上的包袱：“替你送下酒的菜来。”她微笑着打开包袱，又：...,1
42,...服。这时，四周响起了一个震天彩。李小刀子如同中邪，从打开的包袱里取出了一把小刀，走上前去。金鸡三点头。头一刀...,1
43,...17日的清晨，她站在朝思暮想了10多年的宜宾的家门前。手中的包袱掉到了地上，她一下子扑倒在老父亲的脚下……舒友...,1
44,...往皮袋里砸。竹笔老满拉脱得仔细，一件包上一件，包了一个四方包袱。竹笔老满拉最末了卸下那件血衣裳。伊斯儿瞪他。...,1
45,...破木箱，一张长方桌放在从云彩缝里射出来的阳光下，上边晒着大包袱。王大妈正在生着焊活和作饭两用的小煤球炉子。东...,1
46,...亲！！方哥請我下館子撐的快爆胎了SOS！今天阳光明媚的收拾个包袱买好多零食出门郊游去～～～谢谢阿拉新年好啊红包...,1
47,...受了风寒，把我赶出去怎么办？”她从衣柜的下方空隙拿出自己的包袱，开始脱下湿透的衣服。“如果把湿衣晒在柜子上头...,1
48,...绕着的小巷。“不管那个叫做有夏月的人多么厉害，拖着这样一堆包袱的话，全军覆没只是时间问题。”“我、我们要去哪...,1
49,...久的妻子宫嫱柳虽然没有娘家可回去，但是灭明更怕她发起火来，包袱收一枚就跑去台北找他老爸，要如道他父亲东方旭早...,1
50,...去，果然大门是敞开的，那两人就在门外僵持不下。燕悔拎着个小包袱，萧福则张开双手挡住她的去路，她走他追，还苦苦...,1
51,...：“站住！”〔一妇女跑下。〔内喊：“站住！”刁小三追逐一挟包袱的少女上。刁小三站住！老子们抗日救国，给你们赶...,1
52,...道多说无益，大哥已经决定的事，谁也撼动不了。他拿起项虞贞的包袱，迅速驱马赶上尉迟策。只是……他几乎已经可以预...,1
53,...都快停止了。朱妈第二天又去了一趟清云寺，朱妈带了一个包袱，包袱里有七百块钱和一对金耳环，钱是朱妈寄往海城老家...,1
54,...成，三角形的边线是可以折起、连接的，所以你可以把它当做一块包袱皮。用包裹而不是填装的方式来整理行李，这是一种...,1
55,...上，缓缓走来一个青年书生，但见他一袭白衣，跨着沉甸甸的青布包袱，一副赶考举子的模样。这书生并非旁人，正是昨日...,1
56,...”大概是主人从“日本堤”警察分局回来了。车夫递出一个好大的包袱，主人叫女仆接过，便悠然跨进了客室。“啊，来啦...,1
57,...！此人生就一张白惨惨的丧门脸，赤发苍须，身穿黄衫，背负黄布包袱，胁挟油纸雨伞，赫然正是鬼见愁阎弘！董百川瞧得...,1
58,...理可证，反之是愈小愈辛辣，更胜于老姜数分，所以她才早早收拾包袱逃生去，顺便造福亚雷小舅。外人也许不清楚卡登家...,1
59,...面前说：“爸爸在信里让我们把这个包袱亲自交给你。”向南接过包袱，抖着手打开来，见里面是余子期的诗集和他为她准...,1
60,...心点的好。”他摆手示意，其中一个大汉立即拆开包袱。但见一个包袱装满了衣服，另一个包袱则是兵器。那些衣服，都是...,1
61,...呢？”“不知道。”两个人刚要出去找，小柿子拿着孟萍萍给她的包袱走了进来。“喂，你怎么才来？”小柿子径直走到杨...,1
62,...时替你保管，到了地头再还给卫施主。”秦宝宝十分得意将“元宝包袱”丢给别人，道：“这么笨重的东西我哥哥才不想要...,1
63,...艾老那种年纪，还真得略具慧根，才会顿悟。不过，届时也得收拾包袱准备到另外一个世界去生活了。丹青看着胡世真出门...,1
64,...，我还有件东西要给你看。”他从旁边捧出了青色丝绢缠绕的长形包袱，姬野看着丝绢面上纹绣的花纹，觉得极其的眼熟。...,1
65,...空消失了一样，最后的线索是城外一间破庙里的包袱。小翠证实那包袱确实为燕悔所有，但也仅是如此了。却没有人看见燕...,1
66,...个包袱裹着的，是一件件满族吉福，连袍带褂，整整齐齐地叠放在包袱内。每一件新衣都绣工精细、色泽鲜丽，甚至带着淡...,1
67,...是绮凤娇变卖了她房间里的一切用物，把衣服细软打成两个大大的包袱，跟克勤坐船往上海去了。心锦责怪心碧说，不该由...,1
68,...。大妈生好了煤球炉子，仰头看着天色，小心翼翼地抱起桌上的大包袱来，往屋里收。二春正走到房门口，顺手接进去。大...,1
69,...冷傲的男人想凭自己的力量救他的女人，所以戚侠禹也不勉强他，包袱收一收就带着冷雪踏上中断许久的寻人之旅。这一天...,1
70,...不同。爽爽爽！我是好运女……哈哈！早鸭起来的人最乖的，拿起包袱上班去！有冇人陪我去！点解15号车可以甘臭……那...,1
71,...？”窝囊废笑得有点儿勉强。宝庆把他的东西收拾到一块儿，拿块包袱皮包了，挟在胳肢窝里。他在穿上最好的衣服之前，...,1
72,...真出乎意料啊人生中第N+1个光棍节快乐~！下午教授停课，收拾包袱，果断回家~！看得太多，腻了！要不来点新的，剧情...,1
73,...公公，刚才真是谢谢你们的帮忙，这些银子送给你们。”段玉蝶将包袱递给老公公。“不用啦！我和阿凤真的是来投靠我们...,1
74,...径策马驰回家中。他略略收拾一下，将内衣银子等物，打点成一个包袱，用那镔铁禅杖挑着，别过老家人夫妇，也不再往兄...,1
75,...也向自己提出同样的问题。此时，风野忽然感到眼前的袊子是个大包袱。以后是不是走到哪儿都得背着这个包袱呢？心中不...,2
76,...刚生出的负疚感一下子变成了罪恶感。我就做得对吗？我像扔一个包袱一样，把它扔掉了，再不管她的死活。我分明知道她...,2
77,...还分散了企业领导抓生产的时间和精力，成为制约企业发展的一个包袱。今年初以来，随着思想观念的进一步更新，一些文...,2
78,...了该项收费是擅自设立的，是一种乱收费。将经营农村电话的亏损包袱转嫁到农民头上，有何法律依据？据本人所知，农村...,2
79,...村的难度越大。“政治账”压倒了“经济账”，使电力企业背上了包袱，这在一定程度上挫伤了电力企业消灭无电村的积极...,2
80,...教育养子失误，原因是复杂的，但从他主观来说，主要是背了个“包袱”——非亲生的儿子、亡友的后代……因此，对养子...,2
81,...车，在中途将押送的货车调了包。但“符号”却背上了沉重的心理包袱：一是克莱莉多次指示行动“只许成功，不许失败”...,2
82,...他会受不了的……”“疯什么？久病无真情，他正巴不得丢掉你这包袱，你别再痴心妄想了！”杏霞大声说。门已开，意芊...,2
83,...底，变以前的暗收入为收入，调动了业务人员的积极性。为了抛开包袱，轻装上阵，张洪禄提出把医院、托儿所、食堂、车...,2
84,...则改之，无则加勉，照样吃饭，照样往前走路。如果把批评都变成包袱背着，那我早就走不动了。对于批评中的是非，有些...,2
85,...藉吧...今天听老者一席话，卸下一些不知道什么时候加给自己的包袱，但同时也不知道为什么觉得紧张。我是一个随性的...,2
86,...著的成效。这些年来我们从不抱着优质产品不放，背上优质名牌的包袱而固步自封。我们深知用户需求在变，市场形势也在...,2
87,...市里的国企大盘股，在背负着历史荣耀的同时也背负着沉重的历史包袱。因此有人说，大光明与环艺的竞争从一开始就是不...,2
88,...社既不是就扭亏而抓扭亏，也没有依赖政府一揽子解决所有历史性包袱，而是立足治本，把改革作为扭亏增盈的根本出路。...,2
89,...达手段。随着最初的人感到记忆力负担过重，随着人类各种记忆的包袱变得太沉重、太混杂，以至光凭直接和飘忽的言词便...,2
90,...假成真起来，俨然有了个架子。这个架子是很不妙的，这是一个“包袱”，一个负担，背着它就不好往前进。我们的这些同...,2
91,...下外套，一头倒往背后的草地。“那……你不饿吗？”想到她刚才包袱一收，走人上路的德行，他终于忍不住咧嘴一笑。“...,2
92,...顾问８７５家。郴州市永丰公司原来单纯经营运输业务，人多事少包袱重，且管理混乱，连年亏损，面临倒闭。银光律师事...,2
93,...一方面，受传统观念的影响，一些政府和企业的领导仍把废物视作包袱，不愿意在综合利用上动脑子、下功夫，在招商引资...,2
94,...差生”名称，就产生不应有的厌弃和自弃心理，可以放下不该背的包袱；使师生见到“潜能生”的名称，便产生开掘、奋起...,2
95,...。由于他们是在思想解放运动中受的高等教育，精神世界中因袭的包袱较少，又受到少年时理想主义教育的激励，所以带着...,2
96,...激化，指望依靠市场发育支柱产业、自发形成企业集团，对于历史包袱沉重的国有企业而言，既不公平，也不现实。为了保...,2
97,...，这是建立现代企业制度的保证。传统的计划经济造成的各类经济包袱，已使一部分老的国有建材企业困难重重，如果这些...,2
